    main_id    |        ra        |        dec         |     sp_type     |  B  |  V
"* gam Gem"    |99.42796042942895 |16.399280426663772  |"A1.5IV+"        |1.92 |1.92
"* ksi02 CMa"  |98.76411480246001 |-22.964795416690002 |"A0III"          |4.49 |4.5
"* tet Gem"    |103.1972452606746 |33.96125676049195   |"A2IV"           |3.7  |3.6
"* lam Gem"    |109.52324549807   |16.54038599479      |"A4IV"           |3.674|3.559
"* del Mon"    |107.96608530415293|-0.4927671698652778 |"A0IV"           |4.14 |4.15
"HD  59612"    |112.46421790955002|-23.02429020597     |"A5/7Iab/II"     |5.1  |4.86
"* alf Gem"    |113.64947163976585|31.88828221646326   |"A1V+A2Vm"       |1.62 |1.58
"* alf Gem A"  |113.64942845      |31.88827619166667   |"A1.5IV+"        |     |1.9
"* l Pup"      |115.95195672770251|-28.95482621033833  |"A4Iabe"         |4.09 |3.93
"* phi Gem"    |118.37420066092001|26.765781406390005  |"A5IV"           |5.06 |4.963
"HD  65810"    |119.96686484006   |-18.399216912030003 |"A1V"            |4.69 |4.61
"* chi Pup"    |119.41710944213999|-30.33457124228     |"A7III"          |4.94 |4.79
"*  30 Mon"    |126.41513277136585|-3.9064272186819444 |"A0Va"           |3.88 |3.9
"* q Pup"      |124.63880435555504|-36.65928921661222  |"A8V"            |4.68 |4.4
"* gam Cnc"    |130.82144642293792|21.468498799990275  |"A1Va"           |4.67 |4.652
"* del Hya"    |129.41403113663   |5.70378776223       |"A0Vnn"          |4.144|4.131
"* rho Hya"    |132.10821118485208|5.837812490561667   |"A0Vn"           |4.309|4.337
"* del Pyx"    |133.88153007049   |-27.68184821239     |"A3IV"           |5.0  |4.89
"* iot Phe"    |353.76900152353   |-42.61513979887     |"ApSrCrEu"       |4.79 |4.71
"* kap Phe"    |6.550838931848333 |-43.67983065874444  |"A5IVn"          |4.11 |3.94
"* eps Mic"    |319.484525485715  |-32.17254768084916  |"A0V"            |4.771|4.708
"* iot PsA"    |326.2367069546779 |-33.02578182224082  |"A0IV"           |4.29 |4.34
"* mu. PsA"    |332.09588059226   |-32.98846990784     |"A1.5IVn"        |4.55 |4.5
"* bet PsA"    |337.8763771806121 |-32.34607529737001  |"A1Va"           |4.3  |4.29
"* gam PsA"    |343.13137565518   |-32.87546048931001  |"A0VpSrCrEu"     |4.46 |4.51
"* alf PsA"    |344.4126927211701 |-29.622237033389442 |"A4V"            |1.25 |1.16
"* del Scl"    |357.23144264722794|-28.13027124748695  |"A0VankB9((_lB))"|4.58 |4.57
"* eta Cap"    |316.1012368913642 |-19.855091882216946 |"A5V"            |5.02 |4.84
"* tet Cap"    |316.4867853131225 |-17.232862837423333 |"A1V"            |4.06 |4.07
"* b03 Aqr"    |353.3192590454091 |-20.914495039034996 |"A0V"            |4.77 |4.758
"* del Aqr"    |343.66252607413   |-15.820819565200004 |"A3Vp"           |3.33 |3.28
