    main_id    |        ra         |        dec        |       sp_type        |  B  |  V
"* nu.01 Sgr"  |283.54240867928    |-22.74483961587    |"K1II"                |6.251|4.845
"* nu.02 Sgr"  |283.77973942564    |-22.671283787580002|"K3-II-III:CN1Ba1"    |6.3  |4.98
"* psi Oph"    |246.02574060841243 |-20.03732005239416 |"K0-II-III"           |5.53 |4.5
"*  21 Sgr"    |276.33766429256    |-20.541672835259998|"K1/2III"             |6.32 |4.86
"* f Sgr"      |296.59058130579245 |-19.761114615344447|"K0+III"              |5.93 |4.873
"*  37 Lib"    |233.54459368393248 |-10.06453270847    |"K1III-IV"            |5.63 |4.62
"* alf Sct"    |278.8017798215825  |-8.24407051095861  |"K3III"               |5.17 |3.83
"* eta Sct"    |284.26529246809    |-5.84631509312     |"K1-III"              |5.904|4.818
"* i Aql"      |285.420120295185   |-5.739089504799445 |"K1III"               |5.11 |4.02
"*  30 Oph"    |255.26500740691998 |-4.22264384663     |"K4III"               |6.302|4.812
"* eta Ser"    |275.3275020516146  |-2.8988279698980564|"K0III-IV"            |4.19 |3.25
"*  69 Aql"    |307.41250016292    |-2.88552815665     |"K1/2III"             |6.065|4.9
"*  70 Aql"    |309.18180497848    |-2.54995464288     |"K4+IIIBa1"           |6.475|4.88
"*  70 Oph"    |271.363688269495   |2.5000988299620857 |"K0-V"                |4.89 |4.03
"* 110 Vir"    |225.72515651496167 |2.0913043610361113 |"K0+IIIbFe-0.5"       |5.44 |4.4
"* sig Oph"    |261.62866972302993 |4.14035937929      |"K2II"                |5.82 |4.31
"* bet Oph"    |265.86813295741786 |4.567303668469166  |"K2IIICN0.5"          |3.93 |2.75
"* alf Ser"    |236.0669754565879  |6.425630220244722  |"K2IIIbCN1"           |3.8  |2.63
"* mu. Aql"    |293.5223041337724  |7.378940091535001  |"K3-IIIbFe0.5"        |5.63 |4.45
"* kap Oph"    |254.4170729283867  |9.375029020125002  |"K2III"               |4.36 |3.2
"* h Her"      |248.1512165788667  |11.488041151238058 |"K4.5III"             |6.34 |4.85
"* gam Aql"    |296.5649123092774  |10.6132587226325   |"K3II"                |4.23 |2.72
"*  93 Her"    |270.01423548896    |16.750917942879997 |"K0.5IIb"             |5.93 |4.67
"* eps Aql"    |284.90565157804997 |15.06828104146     |"K1-IIICN0.5"         |5.1  |4.02
"* 109 Her"    |275.924540442535   |21.769752669179447 |"K2IIIab"             |5.02 |3.84
"* gam02 Del"  |311.66458259985995 |16.124293954090003 |"K1IV"                |5.26 |4.25
"* rho Ser"    |237.81628864635454 |20.977920432955003 |"K4.5III"             |6.32 |4.78
"* lam Her"    |262.68462425402    |26.110645612289996 |"K3.5III"             |5.85 |4.41
"HD 173780"    |281.51866455831    |26.662128907930004 |"K2III"               |6.04 |4.84
"* eps CrB"    |239.39688084174207 |26.877879625768056 |"K2IIIab"             |5.36 |4.13
"* bet01 Cyg"  |292.68031501400833 |27.959673631221666 |"K3II+B9.5V"          |4.21 |3.08
"* ome Boo"    |225.52711998286998 |25.00813879828     |"K4III"               |6.31 |4.81
"* lam Lyr"    |285.00344026273    |32.1455132119      |"K2.5III:Ba0.5"       |6.401|4.93
"*  23 Vul"    |303.942263318      |27.81419889336     |"K3-IIIFe-1"          |5.78 |4.52
"*  30 Vul"    |311.21880312981    |25.27062987318     |"K1III"               |6.1  |4.91
"* psi Boo"    |226.11142899823997 |26.94764831773     |"K2III"               |5.78 |4.55
"* kap Lyr"    |274.9654546035813  |36.06454748289472  |"K2-IIIabCN0.5"       |5.51 |4.34
"* pi. Her"    |258.76180935986537 |36.80916154895945  |"K3II"                |4.61 |3.18
"* tet Her"    |269.06325406138296 |37.250536666711376 |"K1IIaCN2"            |5.23 |3.88
"* eta Cyg"    |299.07654932216917 |35.08342288549805  |"K0III"               |4.91 |3.88
"*  39 Cyg"    |305.96505748844504 |32.190133789770556 |"K2.5IIIFe-0.5"       |5.77 |4.44
"*  52 Cyg"    |311.41563797232584 |30.719714539576106 |"K0IIIa"              |5.29 |4.23
"* kap CrB"    |237.8080470598467  |35.65738158087722  |"K1IVa"               |5.82 |4.82
"* tau CrB"    |242.2429538510379  |36.490870568733335 |"K1-III-IV"           |5.75 |4.73
"* tet Lyr"    |289.0920557052191  |38.1337420450175   |"K0II"                |5.64 |4.38
"*  47 Cyg"    |308.47578371563    |35.250844179679994 |"K6:Ib+B2.5:"         |6.145|4.636
"* eps Cyg"    |311.55280115351087 |33.97032834364584  |"K0III"               |3.52 |2.48
"V* T Cyg"     |311.79480143804    |34.37412250475     |"K3III"               |6.224|4.93
"* h02 Pup"    |123.51220570344002 |-40.34786713897    |"K1II/III"            |5.61 |4.44
"* sig Pup"    |112.30763598742709 |-43.30143539413861 |"K5III"               |4.77 |3.25
"* alf Hor"    |63.50047592756917  |-42.29436854309194 |"K2III"               |4.96 |3.86
"* y Eri"      |54.27365848581     |-40.2746603362     |"K1III"               |5.62 |4.58
"* l Vel"      |138.90295057607    |-38.56994296101    |"K1III"               |6.05 |4.94
