   main_id   |        ra        |        dec         |       sp_type        |  B  |  V
"* lam Lup"  |227.2108868772291 |-45.2798613832426   |"B3V"                 |3.88 |4.05
"* pi. Lup"  |226.28014567631791|-47.0510636022725   |"B5"                  |3.75 |3.89
"* lam Tel"  |284.61570356773376|-52.938627497580555 |"B9.5IV/V"            |4.786|4.838
"* kap Cen"  |224.79035390916664|-42.10419636638889  |"B2IV"                |2.93 |3.11
"* bet Lup"  |224.63302234983436|-43.13396384896446  |"B2III"               |2.46 |2.68
"* e Lup"    |228.20661466393122|-44.50041400716694  |"B3IV/V"              |4.638|4.806
"* eps Lup"  |230.67028440250002|-44.68961517694444  |"B3IV+B3:V"           |3.191|3.366
"* b Cen"    |220.48996060458245|-37.79349450012777  |"B2.5V"               |3.83 |4.0
"* del Lup"  |230.34297427253   |-40.64753036915     |"B1.5IV"              |2.995|3.19
"* eps Nor"  |246.79600671349993|-47.5547936494661   |"B2V"                 |4.439|4.521
"* alf Ara"  |262.9603813675    |-49.87614501138889  |"B2Vne"               |2.78 |2.95
"* tet Ara"  |271.65778414428   |-50.09147988308306  |"B0.5Iab"             |3.58 |3.66
"* gam Lup"  |233.78520144771352|-41.16675686900692  |"B2IV"                |2.586|2.765
"* alf Tel"  |276.74340176679584|-45.968457754716674 |"B3IV"                |3.299|3.463
"* del01 Tel"|277.93930501234036|-45.91481250026611  |"B5/7"                |4.804|4.92
"* bet01 Sgr"|290.65958004976   |-44.45895838469     |"B9V"                 |3.91 |4.01
"* zet Phe"  |17.09616910146708 |-55.24576000440916  |"B6V+B9V"             |3.908|4.014
"*   3 Cen A"|207.95666927126   |-32.99408494549     |"B5III"               |4.377|4.52
"* bet Mon A"|97.20446000751    |-7.03305939648      |"B4Veshell"           |4.5  |4.6
"* eta Aqr"  |338.8390890307466 |-0.11749740658833335|"B8/9V"               |3.95 |4.03
"* f Eri A"  |57.14947508013    |-37.62014329154     |"B9.5Van"             |4.7  |4.72
"* tau Her"  |244.93515332506078|46.31336170425528   |"B5V"                 |3.73 |3.87
"* mu.01 Lup"|229.63345014166666|-47.87529208611111  |"B7V"                 |4.837|4.945
"* del Tuc"  |336.8331794778799 |-64.96636020576     |"B9Vn"                |4.48 |4.49
"* eps Car B"|125.6286496       |-59.5095554         |"B2Vp"                |3.93 |3.85
"* alf01 Cru"|186.6495666666667 |-63.09909166666667  |"B0.5IV"              |1.1  |1.28
"* alf02 Cru"|186.65184166666666|-63.09952222222222  |"B1V"                 |1.41 |1.58
"* bet Mus B"|191.57059706420708|-68.10787540935777  |"B3V"                 |3.84 |4.0
"* pi. Lup B"|226.28015445      |-47.05108939722222  |"B5IV"                |4.49 |4.62
"* pi. Lup A"|226.27953012499998|-47.05126153888888  |"B5V"                 |4.44 |4.58
"* phi Per"  |25.915158204820003|50.688731423610555  |"B1.5V:e-shell"       |4.02 |4.06
"* alf Eri"  |24.428522833333336|-57.236752805555554 |"B6Vpe"               |0.3  |0.46
"* eta Ori B"|81.11971258399294 |-2.3970309594666666 |"B2:"                 |4.75 |4.89
"* eta Ori A"|81.11923920093793 |-2.3971469508627776 |"B1V"                 |3.42 |3.59
"* kap Lep"  |78.30782095595    |-12.94129245532     |"B7V"                 |4.35 |4.44
"HD 103079"  |177.96343433668   |-65.2059101232      |"B4V"                 |4.85 |4.99
